run_id,status,num_pairs,topic_filter,difficulty_filter,exercise_type_filter,reference_id_filter,parsed_pair_rows,json_parse_errors
run-20260317-133224-smoke,skipped_smoke,0,,,,,,
run-20260317-133554,included,6,CNN,,,,6,0
run-20260317-134150,included,6,RNN,,,,6,0
run-20260317-134820,included,4,Transformer,,,,4,0
run-20260317-135431,included,6,Optimization,,,,6,0
run-20260317-140117,included,6,CNN,,,,6,0
run-20260317-140705,included,6,RNN,,,,6,0
run-20260317-141345,included,5,Transformer,,,,5,0
run-20260317-143058,included,6,Optimization,,,,6,0
run-20260317-150010,included,1,Transformer,,model building,,1,0
run-20260317-150155,included,3,Optimization,,model revision,,3,0
run-20260317-150526,included,1,CNN,,training-analysis,,1,0
run-20260317-150636,included,2,CNN,beginner,,,2,0
run-20260317-150855,included,1,Transformer,intermediate,,,1,0
run-20260317-151648,included,1,Transformer,intermediate,,,1,0
