reference_exercise_id,topic,difficulty,reference_exercise_type,accepted_candidate_count,selected_ai_exercise_id,pair_built,top_soft_rank_score
CNN-01,CNN,intermediate,code completion,1,AI-CNN-01-01,True,0.822
CNN-02,CNN,beginner,concept-to-code,0,,False,
CNN-03,CNN,beginner-intermediate,model building,0,,False,
CNN-04,CNN,intermediate,training-analysis,0,,False,
DTL-01,Optimization,intermediate,training-analysis,0,,False,
DTL-02,Optimization,intermediate,training-analysis,0,,False,
DTL-03,Transformer,intermediate,training-analysis,0,,False,
KER-01,CNN,beginner,model building,0,,False,
KER-02,RNN,intermediate,model building,0,,False,
KER-03,Transformer,intermediate-advanced,model building,0,,False,
KER-04,RNN,intermediate,model building,0,,False,
MIT-01,RNN,intermediate,code completion,0,,False,
MIT-02,CNN,beginner-intermediate,model building,0,,False,
OPT-02,Optimization,beginner-intermediate,training-analysis,0,,False,
OPT-03,Optimization,intermediate,model revision,0,,False,
OPT-04,Optimization,intermediate,model revision,0,,False,
OPT-05,Optimization,intermediate,model revision,0,,False,
RNN-01,RNN,intermediate,code completion,0,,False,
RNN-02,RNN,intermediate,model building,0,,False,
RNN-03,RNN,intermediate,model building,0,,False,
TRF-01,Transformer,intermediate-advanced,code completion,0,,False,
TRF-02,Transformer,intermediate,code completion,0,,False,
UVA-02,Transformer,intermediate-advanced,code completion,0,,False,
