"pair_id","reference_exercise_id","topic","difficulty","exercise_type","source_subtype","source_title","source_locator","course_context","knowledge_points"
"PAIR-CURATED-CNN-01","CNN-01","CNN","intermediate","code completion","Expert-Assignment Exercise","Convolution: Naive Forward Pass","Expert-Assignment Exercise; Stanford CS231n Assignment 2, Q3: Convolutional Neural Networks, Convolution: Naive Forward Pass","Stanford CS231n Assignment 2, Q3: Convolutional Neural Networks, Convolution: Naive Forward Pass","Implement the forward pass for a convolutional layer.; Understand how padding and stride determine convolution output shape.; Practice manipulating NCHW tensors in NumPy.; NumPy arrays; tensor shapes; convolution; padding; stride"
"PAIR-CURATED-KER-01","KER-01","CNN","beginner","model building","Expert-Tutorial Task","Build, train, and evaluate a simple MNIST convnet","https://keras.io/examples/vision/mnist_convnet/; Keras Code Examples / Computer Vision / Simple MNIST convnet","Keras Code Examples / Computer Vision / Simple MNIST convnet","Implement a compact CNN in Keras.; Train and evaluate a convnet on MNIST.; Understand an end-to-end image classification workflow in Keras.; CNNs; Keras Sequential API; softmax classification; MNIST"
"PAIR-CURATED-KER-02","KER-02","RNN","intermediate","model building","Expert-Tutorial Task","Build and train a 2-layer bidirectional LSTM on IMDB","https://keras.io/examples/nlp/bidirectional_lstm_imdb/; Keras Code Examples / NLP / Text classification / Bidirectional LSTM on IMDB","Keras Code Examples / NLP / Text classification / Bidirectional LSTM on IMDB","Build a bidirectional recurrent classifier for text.; Understand sequence modeling for sentiment classification.; Apply recurrent architectures to NLP tasks in Keras.; embeddings; LSTM; text classification; Keras"
"PAIR-CURATED-KER-04","KER-04","RNN","intermediate","model building","Expert-Tutorial Task","Implement a character-level recurrent seq2seq translator","https://keras.io/examples/nlp/lstm_seq2seq/; Keras Code Examples / Machine translation / Character-level recurrent sequence-to-sequence model","Keras Code Examples / Machine translation / Character-level recurrent sequence-to-sequence model","Understand the encoder-decoder formulation of recurrent sequence-to-sequence learning.; Implement teacher-forced seq2seq training with Keras.; Connect training-time seq2seq modeling with inference-time decoding.; LSTM; sequence-to-sequence learning; teacher forcing; one-hot vectorization; machine translation"
"PAIR-CURATED-MIT-01","MIT-01","RNN","intermediate","code completion","Expert-Tutorial Task","Define the RNN model for music generation","https://raw.githubusercontent.com/MITDeepLearning/introtodeeplearning/master/lab1/PT_Part2_Music_Generation.ipynb; MIT Introduction to Deep Learning / Lab 1: Music Generation with RNNs / Define the RNN model","MIT Introduction to Deep Learning / Lab 1: Music Generation with RNNs / Define the RNN model","Build or complete a recurrent sequence model for generation.; Understand sequence modeling and autoregressive generation in practice.; Train and evaluate a music-generation model from a notebook-based lab.; PyTorch tensors; sequence modeling; recurrent neural networks; training loops"
"PAIR-CURATED-MIT-02","MIT-02","CNN","beginner-intermediate","model building","Expert-Tutorial Task","Define and train a CNN for MNIST digit classification","https://raw.githubusercontent.com/MITDeepLearning/introtodeeplearning/master/lab2/PT_Part1_MNIST.ipynb; MIT Introduction to Deep Learning / Laboratory 2: Computer Vision / Part 1: MNIST Digit Classification / Define the CNN model","MIT Introduction to Deep Learning / Laboratory 2: Computer Vision / Part 1: MNIST Digit Classification / Define the CNN model","Implement a basic CNN in PyTorch using convolution and pooling layers.; Train and evaluate a CNN on MNIST.; Compare CNN-based classification with earlier fully connected baselines.; convolution; max pooling; cross-entropy loss; PyTorch training loop"
"PAIR-CURATED-OPT-02","OPT-02","Optimization","beginner-intermediate","training-analysis","Expert-Tutorial Task","Demonstrate overfitting","Expert-Tutorial Task; TensorFlow tutorial: Overfit and underfit > Demonstrate overfitting","TensorFlow tutorial: Overfit and underfit > Demonstrate overfitting","Compare model capacity and overfitting across Tiny, Small, Medium, and large models.; Interpret training and validation binary cross-entropy curves.; Recognize validation stagnation or degradation as signs of overfitting.; tf.keras.Sequential; binary classification; training and validation metrics"
"PAIR-CURATED-OPT-04","OPT-04","Optimization","intermediate","model revision","Expert-Tutorial Task","Add weight regularization","https://www.tensorflow.org/tutorials/keras/overfit_and_underfit; TensorFlow tutorial: Overfit and underfit > Strategies to prevent overfitting > Add weight regularization","TensorFlow tutorial: Overfit and underfit > Strategies to prevent overfitting > Add weight regularization","Apply L2 weight regularization in tf.keras.; Compare regularized and unregularized training behavior.; Relate weight decay to improved generalization and reduced overfitting.; overfitting; L2 regularization; tf.keras.Sequential; training and validation loss"
"PAIR-CURATED-OPT-05","OPT-05","Optimization","intermediate","model revision","Expert-Tutorial Task","Add dropout","https://www.tensorflow.org/tutorials/keras/overfit_and_underfit; TensorFlow tutorial: Overfit and underfit > Strategies to prevent overfitting > Add dropout","TensorFlow tutorial: Overfit and underfit > Strategies to prevent overfitting > Add dropout","Apply dropout in tf.keras to reduce overfitting.; Compare dropout-based regularization against baseline training behavior.; Interpret how dropout changes generalization behavior in a large network.; overfitting; dropout; tf.keras.Sequential; training and validation curves"
"PAIR-CURATED-RNN-01","RNN-01","RNN","intermediate","code completion","Expert-Derived Exercise Unit","RNN Model","Expert-Derived Exercise Unit; D2L RNN chapter / sec_rnn-scratch","D2L RNN chapter / sec_rnn-scratch","Understand how an RNN hidden state is updated from the current input and previous state.; Connect the hidden-state equation to a framework-level implementation.; Implement sequence-wise state propagation in RNNScratch.forward.; hidden state; matrix multiplication; tanh activation; sequence modeling"
