code_quality_metrics.solution_code_avg_function_loc,code_quality_metrics.solution_code_comment_line_ratio,code_quality_metrics.solution_code_docstring_count,code_quality_metrics.solution_code_function_count,code_quality_metrics.solution_code_has_docstring_flag,code_quality_metrics.solution_code_loc_total,code_quality_metrics.solution_code_long_function_flag,code_quality_metrics.solution_code_max_function_loc,code_quality_metrics.solution_code_mccabe_max,code_quality_metrics.solution_code_mi,code_quality_metrics.solution_code_naming_violation_flag,code_quality_metrics.solution_code_pylint_warning_count,code_quality_metrics.solution_code_ruff_error_count,code_quality_metrics.solution_code_static_analysis_ok,code_quality_metrics.solution_code_syntax_parse_ok,code_quality_metrics.starter_code_avg_function_loc,code_quality_metrics.starter_code_comment_line_ratio,code_quality_metrics.starter_code_docstring_count,code_quality_metrics.starter_code_function_count,code_quality_metrics.starter_code_has_docstring_flag,code_quality_metrics.starter_code_loc_total,code_quality_metrics.starter_code_long_function_flag,code_quality_metrics.starter_code_max_function_loc,code_quality_metrics.starter_code_mccabe_max,code_quality_metrics.starter_code_mi,code_quality_metrics.starter_code_naming_violation_flag,code_quality_metrics.starter_code_pylint_warning_count,code_quality_metrics.starter_code_ruff_error_count,code_quality_metrics.starter_code_static_analysis_ok,code_quality_metrics.starter_code_syntax_parse_ok,difficulty,exercise_id,exercise_type,instruction_metrics.avg_sentence_length,instruction_metrics.flesch_kincaid_grade,instruction_metrics.flesch_reading_ease,instruction_metrics.instruction_completeness_ratio,instruction_metrics.instruction_has_background_knowledge,instruction_metrics.instruction_has_constraints,instruction_metrics.instruction_has_eval_criteria,instruction_metrics.instruction_has_io_spec,instruction_metrics.instruction_has_submission_format,instruction_metrics.instruction_has_task_goal,instruction_metrics.max_sentence_length,instruction_metrics.technical_term_density_instruction,instruction_metrics.var_sentence_length,source_type,structure_metrics.constraints_present,structure_metrics.expected_goal_present,structure_metrics.io_spec_present,structure_metrics.solution_or_hint_present,structure_metrics.starter_code_or_env_present,structure_metrics.structure_completeness_ratio,structure_metrics.structure_score_weighted,structure_metrics.task_description_present,structure_metrics.test_cases_present,structure_metrics.title_present,topic
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.4211,0,0,False,19,nan,0,nan,100.0,True,6,2,False,True,intermediate,AI-KER-02-01,model building,14.75,10.7133,44.97,1.0,True,True,True,True,True,True,19.0,0.0339,8.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,0.3333,0,2,False,33,False,10,2,83.5238,False,17,10,False,True,intermediate,AI-KER-04-01,model building,22.8,12.3948,35.205,0.8333,True,True,True,True,False,True,52.0,0.0439,253.36,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12.5,0.1481,1,2,True,27,False,13,2,92.1671,True,12,0,False,True,intermediate,AI-MIT-01-01,code completion,17.5,9.9464,54.9211,0.8333,True,True,True,True,False,True,24.0,0.0714,29.25,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.5,0.2143,0,2,False,14,False,7,2,95.1404,True,9,1,False,True,intermediate,AI-RNN-01-01,code completion,18.75,10.1165,55.0373,1.0,True,True,True,True,True,True,30.0,0.0267,56.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.5,0.4,0,2,False,25,False,6,2,100.0,False,14,1,False,True,intermediate,AI-RNN-02-01,model building,15.1667,10.9117,44.1412,1.0,True,True,True,True,True,True,20.0,0.022,30.4722,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.5714,0.2154,0,7,False,65,False,8,3,81.9928,False,22,3,False,True,intermediate,AI-RNN-03-01,model building,21.5,12.8845,24.3147,0.8333,True,True,True,True,False,True,31.0,0.0465,38.25,AI,True,True,True,False,True,0.875,0.8667,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,13,nan,0,nan,100.0,True,4,11,False,True,intermediate,KER-02,model building,18.5,12.6736,37.1494,0.6667,True,True,False,True,False,True,25.0,0.0541,42.25,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,18,nan,0,nan,100.0,False,2,16,False,True,intermediate,KER-04,model building,18.3333,12.5855,37.4848,0.6667,True,True,False,True,False,True,25.0,0.0545,22.8889,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.0,0.1053,0,3,False,19,False,11,3,90.1552,False,10,6,False,True,intermediate,MIT-01,code completion,15.3333,8.9027,57.3574,0.6667,True,True,False,True,False,True,28.0,0.0435,80.2222,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,0.0526,0,1,False,19,False,18,7,77.9397,True,5,11,False,True,intermediate,RNN-01,code completion,20.6667,9.7894,61.6874,0.6667,True,True,False,True,False,True,32.0,0.0323,96.8889,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,RNN-02,model building,16.0,9.699,50.623,0.8333,True,True,True,True,False,True,25.0,0.0125,22.8,Expert,True,True,True,True,True,1.0,1.0,True,True,True,RNN
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,RNN-03,model building,20.375,9.7022,61.3473,0.5,True,False,False,True,False,True,26.0,0.0184,12.7344,Expert,False,True,True,True,True,0.75,0.7667,True,False,True,RNN
