reference_exercise_id,topic,difficulty,exercise_type,candidate_rank_within_reference,run_id,original_pair_id,original_ai_exercise_id,soft_rank_score,instruction_completeness_ratio,structure_completeness_ratio,code_validity_passed,generated_at,selected_for_curated_pool
CNN-01,CNN,intermediate,code completion,1,run-20260317-140117,PAIR-CNN-01-01,AI-CNN-01-01,0.8202,0.8333,1.0,True,2026-03-17T06:01:48.174176+00:00,True
CNN-01,CNN,intermediate,code completion,2,run-20260317-133554,PAIR-CNN-01-01,AI-CNN-01-01,0.8202,0.8333,1.0,True,2026-03-17T05:36:28.379966+00:00,False
CNN-02,CNN,beginner,code completion,1,run-20260317-150636,PAIR-CNN-02-01,AI-CNN-02-01,0.6747,0.6667,1.0,True,2026-03-17T07:07:00.472918+00:00,True
CNN-02,CNN,beginner,code completion,2,run-20260317-140117,PAIR-CNN-02-01,AI-CNN-02-01,0.6709,0.6667,1.0,True,2026-03-17T06:02:42.592992+00:00,False
CNN-02,CNN,beginner,code completion,3,run-20260317-133554,PAIR-CNN-02-01,AI-CNN-02-01,0.6703,0.6667,1.0,True,2026-03-17T05:37:25.080924+00:00,False
CNN-03,CNN,beginner-intermediate,model building,1,run-20260317-133554,PAIR-CNN-03-01,AI-CNN-03-01,0.8153,0.8333,1.0,True,2026-03-17T05:38:09.306404+00:00,True
CNN-03,CNN,beginner-intermediate,model building,2,run-20260317-140117,PAIR-CNN-03-01,AI-CNN-03-01,0.6706,0.6667,1.0,True,2026-03-17T06:03:31.593641+00:00,False
CNN-04,CNN,intermediate,training-analysis,1,run-20260317-133554,PAIR-CNN-04-01,AI-CNN-04-01,0.8861,1.0,1.0,True,2026-03-17T05:38:55.268757+00:00,True
CNN-04,CNN,intermediate,training-analysis,2,run-20260317-150526,PAIR-CNN-04-01,AI-CNN-04-01,0.7435,0.8333,1.0,True,2026-03-17T07:05:47.107480+00:00,False
CNN-04,CNN,intermediate,training-analysis,3,run-20260317-140117,PAIR-CNN-04-01,AI-CNN-04-01,0.7435,0.8333,1.0,True,2026-03-17T06:04:12.173016+00:00,False
DTL-01,Optimization,intermediate,training-analysis,1,run-20260317-135431,PAIR-DTL-01-01,AI-DTL-01-01,0.7357,0.8333,1.0,True,2026-03-17T05:57:02.909654+00:00,True
DTL-01,Optimization,intermediate,training-analysis,2,run-20260317-143058,PAIR-DTL-01-01,AI-DTL-01-01,0.7343,0.8333,1.0,True,2026-03-17T06:33:17.058915+00:00,False
DTL-02,Optimization,intermediate,training-analysis,1,run-20260317-135431,PAIR-DTL-02-01,AI-DTL-02-01,0.7108,0.8333,1.0,True,2026-03-17T05:57:57.722291+00:00,True
DTL-02,Optimization,intermediate,training-analysis,2,run-20260317-143058,PAIR-DTL-02-01,AI-DTL-02-01,0.7067,0.8333,1.0,True,2026-03-17T06:34:15.859796+00:00,False
DTL-03,Transformer,intermediate,training-analysis,1,run-20260317-151648,PAIR-DTL-03-01,AI-DTL-03-01,0.8025,0.8333,1.0,True,2026-03-17T07:19:13.229313+00:00,True
DTL-03,Transformer,intermediate,training-analysis,2,run-20260317-150855,PAIR-DTL-03-01,AI-DTL-03-01,0.7461,0.8333,1.0,True,2026-03-17T07:10:23.665321+00:00,False
DTL-03,Transformer,intermediate,training-analysis,3,run-20260317-134820,PAIR-DTL-03-01,AI-DTL-03-01,0.7425,0.8333,1.0,True,2026-03-17T05:53:06.336862+00:00,False
DTL-03,Transformer,intermediate,training-analysis,4,run-20260317-141345,PAIR-DTL-03-01,AI-DTL-03-01,0.7404,0.8333,1.0,True,2026-03-17T06:18:25.514302+00:00,False
KER-01,CNN,beginner,model building,1,run-20260317-150636,PAIR-KER-01-01,AI-KER-01-01,0.8737,1.0,1.0,True,2026-03-17T07:07:49.220949+00:00,True
KER-01,CNN,beginner,model building,2,run-20260317-140117,PAIR-KER-01-01,AI-KER-01-01,0.8735,1.0,1.0,True,2026-03-17T06:05:50.047569+00:00,False
KER-01,CNN,beginner,model building,3,run-20260317-133554,PAIR-KER-01-01,AI-KER-01-01,0.8695,1.0,1.0,True,2026-03-17T05:40:40.324063+00:00,False
KER-02,RNN,intermediate,model building,1,run-20260317-140705,PAIR-KER-02-01,AI-KER-02-01,0.8729,1.0,1.0,True,2026-03-17T06:11:24.059317+00:00,True
KER-02,RNN,intermediate,model building,2,run-20260317-134150,PAIR-KER-02-01,AI-KER-02-01,0.8718,1.0,1.0,True,2026-03-17T05:46:03.049403+00:00,False
KER-03,Transformer,intermediate-advanced,model building,1,run-20260317-134820,PAIR-KER-03-01,AI-KER-03-01,0.8729,1.0,1.0,True,2026-03-17T05:52:14.502754+00:00,True
KER-03,Transformer,intermediate-advanced,model building,2,run-20260317-150010,PAIR-KER-03-01,AI-KER-03-01,0.872,1.0,1.0,True,2026-03-17T07:00:42.287239+00:00,False
KER-03,Transformer,intermediate-advanced,model building,3,run-20260317-141345,PAIR-KER-03-01,AI-KER-03-01,0.872,1.0,1.0,True,2026-03-17T06:17:33.294334+00:00,False
KER-04,RNN,intermediate,model building,1,run-20260317-134150,PAIR-KER-04-01,AI-KER-04-01,0.8588,1.0,1.0,True,2026-03-17T05:46:48.728478+00:00,True
KER-04,RNN,intermediate,model building,2,run-20260317-140705,PAIR-KER-04-01,AI-KER-04-01,0.8023,0.8333,1.0,True,2026-03-17T06:12:17.297275+00:00,False
MIT-01,RNN,intermediate,code completion,1,run-20260317-140705,PAIR-MIT-01-01,AI-MIT-01-01,0.5761,0.6667,1.0,True,2026-03-17T06:10:38.258215+00:00,True
MIT-01,RNN,intermediate,code completion,2,run-20260317-134150,PAIR-MIT-01-01,AI-MIT-01-01,0.5728,0.6667,1.0,True,2026-03-17T05:45:10.314236+00:00,False
MIT-02,CNN,beginner-intermediate,model building,1,run-20260317-140117,PAIR-MIT-02-01,AI-MIT-02-01,0.8782,1.0,1.0,True,2026-03-17T06:05:05.293634+00:00,True
MIT-02,CNN,beginner-intermediate,model building,2,run-20260317-133554,PAIR-MIT-02-01,AI-MIT-02-01,0.6704,0.8333,1.0,True,2026-03-17T05:39:43.911521+00:00,False
